pr_id,total_commits,ai_commits,human_commits,ai_commits_percentage,total_comments,ai_comments,human_comments,ai_comments_percentage,total_reviews,ai_reviews,human_reviews,ai_reviews_percentage,time_to_merge_hours,has_related_issue,has_ai_involvement,is_merged
3229388782,1,0,1,0.0,7,6,1,85.71428571428571,2,1,1,50.0,,False,True,False
3229430451,4,1,3,25.0,5,3,2,60.0,1,0,1,0.0,,True,True,False
3229479550,2,1,1,50.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3229516571,3,1,2,33.33333333333333,1,1,0,100.0,1,1,0,100.0,,False,True,False
3229550409,3,1,2,33.33333333333333,1,1,0,100.0,1,1,0,100.0,,False,True,False
3229562306,1,0,1,0.0,1,1,0,100.0,1,1,0,100.0,,False,True,False
3229562614,2,2,0,100.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3229564036,2,2,0,100.0,1,1,0,100.0,2,1,1,50.0,,False,True,False
3198797332,5,4,1,80.0,1,1,0,100.0,2,2,0,100.0,,False,True,False
3198941408,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3198963045,4,3,1,75.0,0,0,0,0.0,1,0,1,0.0,,False,True,False
3199109313,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3199151594,4,2,2,50.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3199161790,2,1,1,50.0,3,2,1,66.66666666666666,1,0,1,0.0,,False,True,False
3266816243,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3214915262,3,3,0,100.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3214923038,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3214924127,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3214946598,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3214990325,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3214991418,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3215020726,3,1,2,33.33333333333333,0,0,0,0.0,0,0,0,0.0,,False,True,False
3215023759,4,4,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3215027063,10,6,4,60.0,6,6,0,100.0,2,2,0,100.0,,False,True,False
3215049221,1,1,0,100.0,2,2,0,100.0,2,2,0,100.0,,False,True,False
3197330637,8,8,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3197378756,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3197392290,1,1,0,100.0,6,6,0,100.0,2,1,1,50.0,,False,True,False
3197409115,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3197499209,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3193587901,2,1,1,50.0,0,0,0,0.0,2,0,2,0.0,,False,True,False
3193604442,1,1,0,100.0,0,0,0,0.0,1,0,1,0.0,,False,True,False
3193609493,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3193653281,1,1,0,100.0,0,0,0,0.0,1,0,1,0.0,,False,True,False
3193687343,1,0,1,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3193703413,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3193705585,3,1,2,33.33333333333333,0,0,0,0.0,0,0,0,0.0,,False,True,False
3193754528,2,2,0,100.0,0,0,0,0.0,1,0,1,0.0,,False,True,False
3193778499,3,3,0,100.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3193788638,1,1,0,100.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3193800280,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3193817178,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3226570997,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3226577140,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3226579599,4,4,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3226581999,3,3,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3226585719,4,4,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3226595415,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3201813962,5,5,0,100.0,1,0,1,0.0,0,0,0,0.0,,False,True,False
3201826831,4,3,1,75.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3202183787,3,3,0,100.0,3,0,3,0.0,0,0,0,0.0,,False,True,False
3246263935,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3246272592,3,2,1,66.66666666666666,1,1,0,100.0,0,0,0,0.0,,False,True,False
3251975164,7,7,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3252061066,8,8,0,100.0,3,3,0,100.0,2,2,0,100.0,,False,True,False
3252065228,1,1,0,100.0,0,0,0,0.0,4,2,2,50.0,,False,True,False
3252114885,1,1,0,100.0,3,3,0,100.0,2,2,0,100.0,,False,True,False
3252117147,1,1,0,100.0,1,0,1,0.0,3,2,1,66.66666666666666,,False,True,False
3252127377,3,1,2,33.33333333333333,3,3,0,100.0,2,2,0,100.0,,False,True,False
3252127796,2,2,0,100.0,3,3,0,100.0,2,2,0,100.0,,False,True,False
3252145883,4,4,0,100.0,3,3,0,100.0,2,2,0,100.0,,False,True,False
3252203899,1,1,0,100.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3252214522,1,1,0,100.0,3,3,0,100.0,2,2,0,100.0,,False,True,False
3185626931,7,4,3,57.14285714285714,1,1,0,100.0,2,2,0,100.0,,False,True,False
3185651562,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3185670676,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3185789444,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3185852521,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3185864164,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3186252371,5,5,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3186252799,5,2,3,40.0,1,0,1,0.0,2,2,0,100.0,,False,True,False
3186280686,5,4,1,80.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3186317136,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3186319080,5,2,3,40.0,0,0,0,0.0,2,2,0,100.0,,False,True,False
3186328017,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3186351773,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3186492948,3,3,0,100.0,2,2,0,100.0,2,1,1,50.0,,False,True,False
3186534822,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3186616330,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3230281893,6,6,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3207762911,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3207786186,5,2,3,40.0,0,0,0,0.0,3,2,1,66.66666666666666,,False,True,False
3207831434,3,3,0,100.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3207888301,6,6,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3207938060,4,2,2,50.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3207947406,5,3,2,60.0,2,1,1,50.0,2,0,2,0.0,,False,True,False
3207970070,1,1,0,100.0,2,2,0,100.0,1,1,0,100.0,,False,True,False
3254652768,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3254655900,1,0,1,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3254756249,2,0,2,0.0,4,4,0,100.0,2,2,0,100.0,,False,True,False
3213779460,30,4,26,13.333333333333334,3,3,0,100.0,3,2,1,66.66666666666666,,True,True,False
3213826108,3,3,0,100.0,2,1,1,50.0,2,0,2,0.0,,False,True,False
3258362007,1,1,0,100.0,5,4,1,80.0,0,0,0,0.0,,True,True,False
3258418757,3,3,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3099462584,3,1,2,33.33333333333333,5,4,1,80.0,1,0,1,0.0,,False,True,False
3099818675,11,11,0,100.0,5,5,0,100.0,0,0,0,0.0,,True,True,False
3100097668,6,3,3,50.0,4,4,0,100.0,1,0,1,0.0,,False,True,False
3100155456,4,4,0,100.0,4,4,0,100.0,1,0,1,0.0,,False,True,False
3105305807,5,4,1,80.0,3,2,1,66.66666666666666,0,0,0,0.0,,False,True,False
3105464054,1,1,0,100.0,3,2,1,66.66666666666666,1,1,0,100.0,,False,True,False
3111841315,1,1,0,100.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3112459662,2,1,1,50.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3113874849,6,4,2,66.66666666666666,0,0,0,0.0,4,3,1,75.0,,True,True,False
3116442461,4,3,1,75.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3117811205,3,2,1,66.66666666666666,1,1,0,100.0,1,0,1,0.0,,False,True,False
3119523040,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3119558639,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3226192286,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3245116902,10,5,5,50.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
